2026-07-22 22:17:24,389 | INFO     | cv_module.events | Событие evt_026524: smoke (0.85)
2026-07-22 22:17:24,822 | INFO     | cv_module.events | Событие evt_026525: person (0.93)
2026-07-22 22:17:25,103 | INFO     | cv_module.events | Событие evt_026526: person (0.91)
2026-07-22 22:17:25,320 | INFO     | cv_module.events | Событие evt_026527: person (0.93)
2026-07-22 22:17:25,787 | INFO     | cv_module.events | Событие evt_026528: person (0.93)
2026-07-22 22:17:26,274 | INFO     | cv_module.events | Событие evt_026529: person (0.91)
2026-07-22 22:17:26,627 | INFO     | cv_module.events | Событие evt_026530: person (0.90)
2026-07-22 22:17:27,330 | INFO     | cv_module.events | Событие evt_026531: smoke (0.84)
2026-07-22 22:17:27,471 | INFO     | cv_module.events | Событие evt_026532: vehicle (0.68)
2026-07-22 22:17:28,000 | INFO     | cv_module.events | Событие evt_026533: person (0.79)
2026-07-22 22:17:28,670 | INFO     | cv_module.events | Событие evt_026534: person (0.91)
2026-07-22 22:17:28,805 | INFO     | cv_module.events | Событие evt_026535: person (0.84)
2026-07-22 22:17:29,071 | INFO     | cv_module.events | Событие evt_026536: person (0.83)
2026-07-22 22:17:29,541 | INFO     | cv_module.events | Событие evt_026537: person (0.88)
2026-07-22 22:17:29,610 | INFO     | cv_module.events | Событие evt_026538: smoke (0.89)
2026-07-22 22:17:29,835 | INFO     | cv_module.events | Событие evt_026539: person (0.86)
2026-07-22 22:17:30,108 | INFO     | cv_module.events | Событие evt_026540: person (0.83)
2026-07-22 22:17:30,663 | INFO     | cv_module.events | Событие evt_026541: person (0.73)
2026-07-22 22:17:30,808 | INFO     | cv_module.events | Событие evt_026542: person (0.81)
2026-07-22 22:17:31,017 | INFO     | cv_module.events | Событие evt_026543: person (0.80)
2026-07-22 22:17:31,022 | INFO     | cv_module.events | Событие evt_026544: no_helmet (0.85)
2026-07-22 22:17:31,221 | INFO     | cv_module.events | Событие evt_026545: person (0.85)
2026-07-22 22:17:31,966 | INFO     | cv_module.events | Событие evt_026546: person (0.81)
2026-07-22 22:17:33,139 | INFO     | cv_module.events | Событие evt_026547: smoke (0.92)
2026-07-22 22:17:34,580 | INFO     | cv_module.events | Событие evt_026548: person (0.70)
